#,Body,Weapon,Health1,Health2,Health3,Health4,Attack,FireRate,Accuracy,Bonus1,Bonus2,Bonus3,Bonus4,BonusRate
0,1,Punch,60,96,132,168,8.89,1,0.75,4,7,9,12,0.2
1,1,HG,60,96,132,168,8.33,1.5,0.8,6,10,14,17,0.3
2,2,Punch,90,144,198,252,11.11,1,0.75,8,12,17,21,0.38
3,2,HG,90,144,198,252,8.33,1.5,0.8,9,15,20,26,0.45
4,2,MG,90,144,198,252,8.68,2.4,0.6,12,18,25,32,0.56
5,3,Punch,120,192,264,336,13.33,1,0.75,12,20,27,34,0.6
6,3,HG,120,192,264,336,8.33,1.5,0.8,12,20,27,34,0.6
7,3,MG,120,192,264,336,8.68,2.4,0.6,15,24,33,42,0.75
8,1,HG,90,144,198,252,8.33,1.5,0.8,9,15,20,26,0.45
9,2,HG,135,216,297,378,8.33,1.5,0.8,14,22,30,38,0.67
10,2,MG,135,216,297,378,8.68,2.4,0.6,17,27,38,48,0.84
11,2,Punch,60,96,132,168,8.89,0.75,0.75,3,5,7,9,0.15
12,2,HG,60,96,132,168,8.33,1.5,0.8,6,10,14,17,0.3
13,1,Punch,45,72,99,126,7.11,0.75,0.75,2,3,4,6,0.09
