,,,0,1,2,3,4,5,6,7,8,9,10,11
0,1,Punch,0.75,0.7,0.65,0.65,0.6,0.5,0.65,0.5,0.5,0.5,0.5,0.5
1,2,Punch,0.2,0.2,0.15,0.2,0.15,0.1,0.15,0.05,0.05,0.15,0,0
2,2,HG,0,0,0.05,0,0.05,0.1,0.05,0.1,0.05,0.1,0.1,0.1
3,1,Punch,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
4,1,HG,0,0,0.05,0,0.05,0.05,0,0.05,0.05,0,0.05,0.05
5,2,Punch,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
6,2,HG,0,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0.05
7,2,MG,0,0,0,0,0,0,0,0,0,0,0,0
8,3,Punch,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05
9,3,HG,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05
10,3,MG,0,0,0,0,0,0,0,0,0,0,0,0
12,1,HG,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
14,2,HG,0,0,0,0,0,0.05,0,0.05,0.05,0.05,0.05,0.05
15,2,MG,0,0,0,0,0,0,0,0,0,0,0,0
