Type,,#,CurrencyType,Value,Gem,Upg 1,Upg 2,Bullet,Type,#,Number,Value,,,,Dollars,Coins,Gems
0,,0,0,269,1,2,4,1,0,2,2,2000,,,,1.99,5000,20
,,1,1,440,2,2,5,2,1,1,2,3000,,,,4.99,13000,52
,,2,2,1000,4,2,5,3,2,1,3,5640,,,,9.99,30000,120
,,3,1,1420,6,3,6,4,3,2,4,8000,,,,19.99,65000,260
,,4,2,3000,12,4,10,8,4,0,,1600,,,,49.99,170000,680
,,5,0,4286,17,0,0,11,,,Value,20240,Gem,81,,99.99,350000,1400
1,,0,1,660,3,2,5,1,,,Discount1,0.8,Discount2,0.5,,,,
,,1,2,1500,6,2,5,2,,,Price,64,Price,40,,,,
,,2,1,2140,9,3,6,3,,,,,,,,,,
,,3,2,4500,18,4,10,6,Type,#,Number,Value,,,,,,
,,4,0,6429,26,0,0,9,0,3,3,4260,,,,,,
2,,0,1,830,3,3,6,,1,2,3,6420,,,,,,
,,1,2,1880,8,3,6,,2,2,4,10680,,,,,,
,,2,1,2670,11,4,10,,3,2,4,8000,,,,,,
,,3,2,5630,23,4,10,,4,0,,2300,,,,,,
,,4,0,8043,32,0,0,,,,Sum Value,31660,Gem,127,,,,
,,5,0,0,0,0,0,,,,Discount1,0.8,Discount2,0.4,,,,
,,6,0,0,0,0,0,,,,Price,101,Price,50,,,,
,,7,0,0,0,0,0,,,,,,,,,,,
,,8,0,0,0,0,0,,Type,#,Number,Value,,,,,,
,,9,0,0,0,0,0,,0,4,4,12000,,,,,,
3,Item,0,2,1250,5,0,0,,1,3,4,18000,,,,,,
,,1,2,1250,5,0,0,,2,3,4,22520,,,,,,
,,2,2,2000,8,0,0,,3,2,8,16000,,,,,,
,,,,,,,,,4,0,,4600,,,,,,
,,,,,,,,,,,Sum Value,73120,Gem,292,,,,
,,,,,,,,,,,Discount1,0.8,Discount2,0.38,,,,
,,,,,,,,,,,Price,233,Price,111,,,,
