,,Time Limit,1,2,3,1,2,3,,3,/,Type A,No. A,,Type B,No. B,,Type C,No. C,
Survival,1,,999,84,72,80,110,190,1,1,0.1,2,0,0.2,2,1,0.05,-1,-1,-1
,2,,999,120,90,190,290,480,1,2,0.15,2,1,0.2,2,2,0.05,-1,-1,-1
,3,,999,150,120,310,460,770,2,3,0.2,2,2,0.2,2,3,0.05,-1,-1,-1
,4,,999,210,180,720,1090,1810,2,4,0.25,2,3,0.25,-1,-1,-1,-1,-1,-1
Route Driving,1,50,0,50,75,130,160,240,1,1,0.1,0,1,0.1,1,0,0.1,0,0,0.2
,2,60,0,70,90,240,320,480,1,2,0.15,0,2,0.15,1,1,0.1,-1,-1,-1
,3,70,0,50,75,430,570,860,2,3,0.2,0,3,0.15,1,2,0.1,-1,-1,-1
,4,80,0,80,100,720,970,1450,2,4,0.25,0,4,0.15,1,3,0.1,-1,-1,-1
Delivery,1,90,0,30,45,90,110,160,1,1,0.1,0,1,0.1,1,0,0.1,0,0,0.2
,2,100,0,33,50,160,210,320,1,2,0.15,0,2,0.15,1,1,0.1,-1,-1,-1
,3,110,0,36,55,230,300,450,2,3,0.2,0,3,0.15,1,2,0.1,-1,-1,-1
,4,120,0,30,60,460,620,930,2,4,0.25,0,4,0.15,1,3,0.1,-1,-1,-1
Free Killing,1,60,4,8,12,60,80,140,1,1,0.1,2,0,0.2,2,1,0.05,-1,-1,-1
,2,90,6,18,30,140,220,360,1,2,0.15,2,1,0.2,2,2,0.05,-1,-1,-1
,3,120,8,24,40,250,370,620,2,3,0.2,2,2,0.2,2,3,0.05,-1,-1,-1
,4,150,10,30,50,510,780,1290,2,4,0.25,2,3,0.25,-1,-1,-1,-1,-1,-1
Free Hitting,1,90,5,15,25,130,160,240,1,1,0.1,0,1,0.1,1,0,0.1,0,0,0.2
,2,120,8,24,40,290,380,580,1,2,0.15,0,2,0.15,1,1,0.1,-1,-1,-1
,3,150,10,30,50,460,610,920,2,3,0.2,0,3,0.15,1,2,0.1,-1,-1,-1
,4,180,12,36,60,930,1250,1860,2,4,0.25,0,4,0.15,1,3,0.1,-1,-1,-1
Skill Driving,1,150,0,50,75,140,180,270,1,1,0.1,0,1,0.1,1,0,0.1,0,0,0.2
,2,180,0,40,75,340,450,670,1,2,0.15,0,2,0.15,1,1,0.1,-1,-1,-1
,3,180,0,40,75,430,570,860,2,3,0.2,0,3,0.15,1,2,0.1,-1,-1,-1
,4,180,0,40,75,720,970,1450,2,4,0.25,0,4,0.15,1,3,0.1,-1,-1,-1
Assassinate,1,60,0,20,30,40,50,90,1,1,0.1,2,0,0.2,2,1,0.05,-1,-1,-1
,2,90,0,30,45,100,150,240,1,2,0.15,2,1,0.2,2,2,0.05,-1,-1,-1
,3,120,0,60,80,120,180,310,2,3,0.2,2,2,0.2,2,3,0.05,-1,-1,-1
,4,120,0,60,80,210,310,520,2,4,0.25,2,3,0.25,-1,-1,-1,-1,-1,-1
Car Robbery,1,120,0,40,60,120,140,210,1,1,0.1,0,1,0.1,1,0,0.1,0,0,0.2
,2,120,0,40,60,190,260,380,1,2,0.15,0,2,0.15,1,1,0.1,-1,-1,-1
,3,150,0,50,75,310,410,610,2,3,0.2,0,3,0.15,1,2,0.1,-1,-1,-1
,4,180,0,60,90,620,830,1240,2,4,0.25,0,4,0.15,1,3,0.1,-1,-1,-1
