Type,#,Lv,Damage,Mag.Size,Fire Rate,Accuracy,Reload
,0,1,16.67,,1.2,0.75,
,0,1,30,5,1,0.6,1
,,2,33.33,5,1,0.6,1
,,3,36.67,5,1,0.6,1
,1,1,32.26,5,1,0.62,1
,,2,43.01,6,1.05,0.62,0.98
,,3,52.79,7,1.1,0.62,0.96
,2,1,45.45,6,1.1,0.64,0.97
,,2,60.87,7,1.15,0.64,0.95
,,3,75,8,1.2,0.64,0.93
,3,1,55.56,7,1.2,0.66,0.94
,,2,74.67,8,1.25,0.66,0.92
,,3,92.31,9,1.3,0.66,0.9
,4,1,63.35,8,1.3,0.68,0.91
,,2,85.4,9,1.35,0.68,0.89
,,3,105.88,11,1.4,0.68,0.87
,5,1,81.63,11,1.4,0.7,0.88
,,2,110.34,13,1.45,0.7,0.86
,,3,137.14,15,1.5,0.7,0.84
,0,1,20.83,12,2.4,0.5,1.5
,,2,27.45,14,2.5,0.51,1.45
,,3,33.28,16,2.6,0.52,1.4
,1,1,30.76,14,2.55,0.51,1.42
,,2,40.64,16,2.65,0.52,1.37
,,3,49.4,18,2.75,0.53,1.32
,2,1,39.17,16,2.7,0.52,1.34
,,2,51.89,18,2.8,0.53,1.29
,,3,63.22,20,2.9,0.54,1.24
,3,1,46.34,19,2.85,0.53,1.26
,,2,61.52,21,2.95,0.54,1.21
,,3,75.11,23,3.05,0.55,1.16
,4,1,61.73,24,3,0.54,1.18
,,2,82.11,28,3.1,0.55,1.13
,,3,100.45,32,3.2,0.56,1.08
